epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
90,8263.04,1.40698,0.61129,0.87267,9e-05,0,0.73011,0.65053,0.65029,0.35882,1.37333,0.63609,0.91563,0.0003,0,0.000169908,0.000169908,0.000169908,0.0142653,0
91,8355.29,1.37829,0.60576,0.87993,9e-05,0,0.71393,0.63881,0.64983,0.35307,1.37815,0.64833,0.91569,0.00031,0,0.000155761,0.000155761,0.000155761,0.0133754,0
92,8446.1,1.34993,0.58294,0.87347,9e-05,0,0.72282,0.65134,0.65367,0.35125,1.37592,0.64034,0.91398,0.00031,0,0.000141614,0.000141614,0.000141614,0.0125879,0
93,8537.36,1.34055,0.57523,0.87237,8e-05,0,0.72027,0.64858,0.6559,0.35445,1.37963,0.64022,0.91451,0.00031,0,0.000127467,0.000127467,0.000127467,0.0119036,0
94,8628.22,1.34477,0.58139,0.87287,7e-05,0,0.71234,0.66251,0.65694,0.35837,1.36506,0.64136,0.91437,0.00031,0,0.00011332,0.00011332,0.00011332,0.0113233,0
95,8718.74,1.35493,0.58282,0.86974,7e-05,0,0.70644,0.66911,0.65827,0.36038,1.36634,0.63667,0.91287,0.00031,0,9.91726e-05,9.91726e-05,9.91726e-05,0.0108476,0
96,8809.36,1.33331,0.57133,0.87584,7e-05,0,0.72459,0.65726,0.65887,0.35693,1.36731,0.63402,0.91156,0.00031,0,8.50255e-05,8.50255e-05,8.50255e-05,0.0104771,0
97,8900.36,1.33186,0.5735,0.87598,7e-05,0,0.7106,0.67619,0.66562,0.36022,1.36257,0.62908,0.90961,0.0003,0,7.08784e-05,7.08784e-05,7.08784e-05,0.0102121,0
98,8990.9,1.3165,0.56406,0.87654,6e-05,0,0.72156,0.66848,0.662,0.36021,1.36386,0.62996,0.91137,0.0003,0,5.67313e-05,5.67313e-05,5.67313e-05,0.0100531,0
99,9084.94,1.32177,0.56752,0.86867,6e-05,0,0.70467,0.67177,0.65796,0.36092,1.35911,0.62914,0.91065,0.0003,0,4.25842e-05,4.25842e-05,4.25842e-05,0.01,0
100,9177.58,1.31826,0.56214,0.86843,6e-05,0,0.71585,0.67252,0.664,0.36309,1.35923,0.62669,0.91116,0.0003,0,2.84371e-05,2.84371e-05,2.84371e-05,0.01,0
